datetime,open,close,high,low,volume
2011-12-23 15:00:00,6.98,6.9,7.14,6.85,1574823.0
2011-12-26 15:00:00,6.83,6.56,6.89,6.56,1640599.0
2011-12-27 15:00:00,6.47,6.23,6.47,6.23,1598838.0
2011-12-28 15:00:00,6.01,6.26,6.27,5.95,1790614.0
2011-12-29 15:00:00,6.1,6.57,6.57,6.07,2100693.0
2011-12-30 15:00:00,6.58,6.8,6.9,6.47,2601685.0
2012-01-04 15:00:00,6.9,6.65,6.9,6.46,1600300.0
2012-01-05 15:00:00,6.46,6.32,6.63,6.32,890309.0
2012-01-06 15:00:00,6.0,6.37,6.44,6.0,1627505.0
2012-01-09 15:00:00,6.51,6.64,6.67,6.42,1439233.0
2012-01-10 15:00:00,6.64,6.88,6.93,6.59,1583150.0
2012-01-11 15:00:00,6.81,6.93,7.18,6.69,1843937.0
2012-01-12 15:00:00,6.88,7.28,7.28,6.81,3387092.0
2012-01-13 15:00:00,7.23,6.92,7.23,6.92,2366743.0
2012-01-16 15:00:00,6.72,6.66,6.85,6.57,1098656.0
2012-01-17 15:00:00,6.66,6.99,6.99,6.52,1293738.0
2012-01-18 15:00:00,7.11,7.0,7.25,6.95,1961520.0
2012-01-19 15:00:00,7.0,7.13,7.15,6.71,1497639.0
2012-01-20 15:00:00,7.15,7.14,7.2,7.03,941938.0
2012-01-30 15:00:00,7.15,7.24,7.43,6.96,1360580.0
2012-02-01 15:00:00,7.41,7.54,7.6,7.32,4524138.0
2012-02-02 15:00:00,7.45,7.38,7.45,7.2,3265283.0
2012-02-03 15:00:00,7.38,7.47,7.53,7.22,2010001.0
2012-02-06 15:00:00,7.45,7.73,7.8,7.45,2777682.0
2012-02-07 15:00:00,7.63,7.47,7.67,7.34,3477159.0
2012-02-08 15:00:00,7.4,7.6,7.65,7.26,2833116.0
2012-02-09 15:00:00,7.6,7.66,7.84,7.5,3154241.0
2012-02-10 15:00:00,7.64,7.63,7.77,7.54,1988708.0
2012-02-13 15:00:00,7.5,7.66,7.78,7.44,1999749.0
2012-02-14 15:00:00,7.6,8.01,8.04,7.58,5246323.0
2012-02-15 15:00:00,7.93,8.22,8.33,7.88,4327752.0
2012-02-16 15:00:00,8.1,8.12,8.22,7.91,3344008.0
2012-02-17 15:00:00,8.11,7.96,8.16,7.88,1573612.0
2012-02-20 15:00:00,8.04,7.89,8.08,7.88,1515700.0
2012-02-21 15:00:00,7.89,8.28,8.28,7.82,3935231.0
2012-02-22 15:00:00,8.33,8.29,8.44,8.12,3867487.0
